x,underlying,y
-1.0,14.791438,14.486265
-0.9989995,14.756562,14.8326
-0.997999,14.7216625,15.473211
-0.9969985,14.686739,14.757734
-0.995998,14.6517935,15.042901
-0.9949975,14.616825,14.480131
-0.993997,14.581835,14.491019
-0.9929965,14.5468235,14.265771
-0.991996,14.511791,14.83524
-0.99099547,14.47674,14.292342
-0.989995,14.441669,14.36927
-0.9889945,14.40658,15.709382
-0.987994,14.371473,15.046153
-0.9869935,14.336348,14.236327
-0.98599297,14.301206,13.569437
-0.9849925,14.266048,14.427054
-0.983992,14.230874,13.676285
-0.98299146,14.1956835,14.467813
-0.981991,14.160482,14.650667
-0.98099047,14.125265,13.7542
-0.97999,14.0900345,13.616587
-0.9789895,14.054791,13.819308
-0.97798896,14.019537,13.833563
-0.9769885,13.98427,14.535463
-0.975988,13.948993,12.950345
-0.97498745,13.913702,14.221115
-0.973987,13.878407,13.603085
-0.97298646,13.843099,12.662025
-0.971986,13.807787,13.516308
-0.9709855,13.772464,13.047001
-0.96998495,13.73713,13.815506
-0.9689845,13.7017975,12.980037
-0.96798396,13.666454,13.432675
-0.96698344,13.631104,13.198972
-0.965983,13.595755,13.948714
-0.96498245,13.560395,13.886565
-0.963982,13.525038,13.584803
-0.96298146,13.489672,13.846741
-0.96198094,13.454307,13.076876
-0.9609805,13.418942,14.190786
-0.95998,13.3835745,13.130686
-0.9589795,13.348206,13.154526
-0.957979,13.312837,14.435037
-0.9569785,13.27747,13.119509
-0.95597804,13.242103,13.81869
-0.9549775,13.2067375,12.39477
-0.953977,13.171376,14.212993
-0.9529765,13.136018,13.414986
-0.951976,13.100662,13.770823
-0.9509755,13.065312,13.264508
-0.949975,13.029966,12.290371
-0.9489745,12.994627,13.290254
-0.947974,12.959293,13.798724
-0.9469735,12.923967,13.081796
-0.945973,12.888647,12.820588
-0.9449725,12.853337,12.986136
-0.943972,12.818035,12.850807
-0.94297147,12.782739,12.772055
-0.941971,12.747459,12.920531
-0.9409705,12.712187,12.604433
-0.93997,12.676926,13.390896
-0.9389695,12.641676,11.987712
-0.93796897,12.60644,12.06271
-0.9369685,12.571216,13.09
-0.935968,12.536005,12.397427
-0.93496746,12.500807,12.263909
-0.933967,12.465629,12.597905
-0.9329665,12.430461,12.923115
-0.931966,12.395314,12.729002
-0.9309655,12.360182,13.556932
-0.92996496,12.325064,12.246791
-0.9289645,12.289969,12.324145
-0.927964,12.25489,12.014577
-0.92696345,12.219829,13.551449
-0.925963,12.184792,12.051408
-0.92496246,12.14977,11.80235
-0.923962,12.114774,10.873717
-0.9229615,12.079796,11.994389
-0.92196095,12.04484,11.908802
-0.9209605,12.009912,11.979754
-0.91995996,11.975001,12.439539
-0.91895944,11.940118,11.547229
-0.917959,11.905261,12.114747
-0.91695845,11.870425,13.173254
-0.915958,11.835621,11.634526
-0.91495746,11.800837,11.905442
-0.91395694,11.766082,12.245797
-0.9129565,11.731356,12.051736
-0.91195595,11.696658,11.676112
-0.9109554,11.661988,11.126001
-0.90995497,11.62735,10.59441
-0.90895444,11.59274,11.542948
-0.907954,11.558165,12.12571
-0.90695345,11.523615,12.0115385
-0.90595293,11.4891,11.736693
-0.90495247,11.454618,11.180885
-0.903952,11.420172,11.133823
-0.9029515,11.385755,11.478522
-0.901951,11.351376,10.735789
-0.9009505,11.31703,11.244129
-0.89995,11.282721,11.802348
-0.8989495,11.248447,11.10969
-0.897949,11.21421,11.186266
-0.8969485,11.18001,11.714873
-0.895948,11.145849,10.881118
-0.89494747,11.111723,10.96557
-0.893947,11.077642,11.862501
-0.8929465,11.043596,10.657943
-0.891946,11.009596,11.506663
-0.8909455,10.975634,11.409045
-0.889945,10.94171,11.498016
-0.8889445,10.907835,10.355157
-0.887944,10.874,11.092097
-0.88694346,10.840204,11.089275
-0.885943,10.806459,11.486151
-0.8849425,10.772753,10.98205
-0.883942,10.739099,9.625526
-0.8829415,10.7054825,11.077354
-0.88194096,10.671917,10.211523
-0.8809405,10.638401,10.154781
-0.87994,10.604926,10.38735
-0.87893945,10.571504,10.969761
-0.877939,10.538132,10.09489
-0.87693846,10.504804,10.031532
-0.875938,10.47153,10.12019
-0.8749375,10.438303,10.967314
-0.87393695,10.405129,10.640565
-0.8729365,10.372007,9.746812
-0.87193596,10.338937,10.739027
-0.87093544,10.30592,10.320442
-0.869935,10.272957,10.55011
-0.86893445,10.2400465,10.040243
-0.867934,10.207193,9.517029
-0.86693347,10.174391,10.708639
-0.86593294,10.141645,10.35401
-0.8649325,10.108958,9.9476
-0.86393195,10.076326,10.388555
-0.86293143,10.043753,9.005188
-0.86193097,10.011236,10.398441
-0.86093044,9.978779,10.551981
-0.85993,9.946381,9.915111
-0.85892946,9.9140415,9.896222
-0.85792893,9.881763,10.194725
-0.85692847,9.8495455,10.144481
-0.85592794,9.817389,9.778964
-0.8549274,9.785294,9.941303
-0.85392696,9.753262,10.752352
-0.85292643,9.7212925,9.483733
-0.85192597,9.689386,9.785645
-0.85092545,9.657545,10.344469
-0.8499249,9.625768,9.297722
-0.84892446,9.594057,9.5578985
-0.84792393,9.56241,9.501503
-0.8469234,9.53083,9.2576685
-0.84592295,9.499319,9.997442
-0.8449224,9.467874,9.020647
-0.84392196,9.436497,9.338906
-0.84292144,9.405188,9.378227
-0.8419209,9.373948,8.540221
-0.84092045,9.342778,9.251351
-0.8399199,9.311678,9.231081
-0.8389194,9.280648,9.223852
-0.83791894,9.249691,9.354235
-0.8369184,9.218803,8.406458
-0.83591795,9.18799,9.468692
-0.8349174,9.157249,9.578831
-0.8339169,9.126578,9.760035
-0.83291644,9.095987,8.390451
-0.831916,9.065467,9.187353
-0.83091545,9.035023,8.620191
-0.829915,9.004653,8.931387
-0.82891446,8.9743595,9.274894
-0.827914,8.944144,8.271353
-0.8269135,8.914002,9.268887
-0.82591295,8.883939,8.77398
-0.8249125,8.853954,9.168769
-0.82391196,8.824049,8.420557
-0.82291144,8.794222,8.461869
-0.821911,8.764475,8.767597
-0.82091045,8.734807,8.357369
-0.81991,8.705219,8.350682
-0.81890947,8.6757145,8.11816
-0.81790894,8.64629,8.176472
-0.8169085,8.616948,8.012212
-0.81590796,8.587688,8.73429
-0.81490743,8.558512,7.6669364
-0.81390697,8.529419,9.464865
-0.81290644,8.500409,8.013278
-0.811906,8.471486,8.399157
-0.81090546,8.442646,7.8677278
-0.80990493,8.413892,8.106266
-0.80890447,8.385224,8.4516
-0.80790395,8.356644,9.274228
-0.8069034,8.328148,9.2391405
-0.80590296,8.299742,8.419819
-0.80490243,8.271422,8.388204
-0.803902,8.243193,8.055044
-0.80290145,8.21505,8.072026
-0.8019009,8.186996,8.092693
-0.80090046,8.159035,8.59916
-0.79989994,8.131163,8.250227
-0.7988994,8.103379,8.367142
-0.79789895,8.07569,7.0293584
-0.7968984,8.04809,8.034483
-0.79589796,8.020586,7.698654
-0.79489744,7.9931707,8.0516815
-0.7938969,7.9658494,8.363291
-0.79289645,7.9386225,8.342158
-0.7918959,7.9114885,8.929568
-0.7908954,7.8844485,8.320289
-0.78989494,7.8575063,7.700818
-0.7888944,7.830656,8.410139
-0.78789395,7.8039036,7.3457794
-0.7868934,7.7772455,8.43159
-0.7858929,7.7506847,8.284454
-0.78489244,7.724222,7.8209777
-0.7838919,7.697855,7.669383
-0.7828914,7.671587,7.784429
-0.7818909,7.6454177,7.6228623
-0.7808904,7.6193457,7.4391212
-0.77988994,7.5933757,7.2869115
-0.7788894,7.567503,6.9550643
-0.7778889,7.5417295,7.149531
-0.77688843,7.516059,6.766272
-0.77588797,7.490489,7.3936386
-0.77488744,7.46502,6.962252
-0.773887,7.4396524,7.196333
-0.77288646,7.4143863,7.9990454
-0.771886,7.389223,6.919288
-0.77088547,7.3641624,7.054423
-0.76988494,7.3392053,7.6924405
-0.7688845,7.314353,7.352631
-0.76788396,7.289603,6.2806273
-0.76688343,7.2649574,6.656028
-0.76588297,7.2404184,6.770142
-0.76488245,7.2159834,6.71881
-0.763882,7.191655,7.477068
-0.76288146,7.167432,6.694092
-0.76188093,7.1433153,6.000076
-0.7608805,7.1193075,7.397595
-0.75987995,7.0954046,7.0539823
-0.7588794,7.0716085,7.120734
-0.75787896,7.047923,7.1578493
-0.75687844,7.0243435,8.097718
-0.755878,7.000875,6.9757767
-0.75487745,6.977514,7.399352
-0.7538769,6.954262,6.7454743
-0.75287646,6.931121,6.2029305
-0.75187594,6.9080887,6.293208
-0.7508754,6.8851676,7.0364084
-0.74987495,6.8623586,7.32962
-0.7488744,6.839659,7.116287
-0.74787396,6.817073,6.858494
-0.74687344,6.794596,6.426499
-0.7458729,6.7722325,6.726082
-0.74487245,6.7499833,6.493534
-0.7438719,6.7278447,6.9613404
-0.7428714,6.705819,6.0571346
-0.74187094,6.68391,6.660163
-0.7408704,6.662112,6.7095423
-0.73986995,6.640431,6.349152
-0.7388694,6.6188607,6.4694266
-0.7378689,6.597407,5.753914
-0.73686844,6.5760694,6.6210794
-0.7358679,6.5548472,6.4073696
-0.7348674,6.5337396,7.1232405
-0.73386693,6.5127497,6.764858
-0.7328664,6.4918737,5.596723
-0.73186594,6.4711175,6.899825
-0.7308654,6.4504766,5.83632
-0.7298649,6.429953,6.7346473
-0.72886443,6.4095488,6.4429636
-0.7278639,6.3892603,6.2824087
-0.7268634,6.369091,5.814124
-0.7258629,6.349041,6.431602
-0.7248624,6.329108,6.026609
-0.72386193,6.3092966,6.6224136
-0.7228614,6.289602,6.276317
-0.7218609,6.2700276,6.5651193
-0.7208604,6.250575,6.1052837
-0.7198599,6.2312403,5.889272
-0.7188594,6.2120266,5.9439754
-0.7178589,6.1929355,6.7342215
-0.7168584,6.173963,5.9458504
-0.7158579,6.1551137,6.3871155
-0.7148574,6.1363845,6.0465245
-0.7138569,6.1177773,7.0795183
-0.7128564,6.0992928,6.363535
-0.7118559,6.0809298,7.2101326
-0.71085536,6.06269,6.5072865
-0.7098549,6.044573,5.6192074
-0.7088544,6.0265784,5.711996
-0.7078539,6.0087075,5.6899605
-0.7068534,5.9909596,5.624429
-0.70585287,5.9733353,5.768358
-0.7048524,5.9558353,6.1070285
-0.70385194,5.9384604,6.248793
-0.7028514,5.9212084,5.6813107
-0.70185095,5.904083,6.246845
-0.7008504,5.8870807,6.199479
-0.69984996,5.870205,5.522729
-0.69884944,5.8534527,5.6079035
-0.6978489,5.8368263,5.0674586
-0.69684845,5.8203263,6.008245
-0.6958479,5.8039513,6.0236344
-0.6948474,5.787703,6.0383706
-0.69384694,5.7715807,4.8621993
-0.6928464,5.7555857,5.3483596
-0.69184595,5.739717,6.512131
-0.69084543,5.7239747,6.0281773
-0.6898449,5.7083583,5.5916104
-0.68884444,5.692872,5.674671
-0.6878439,5.6775107,5.908247
-0.6868434,5.662277,5.627081
-0.68584293,5.6471734,6.609218
-0.6848424,5.6321955,5.349809
-0.68384194,5.6173472,4.9758606
-0.6828414,5.602626,5.421892
-0.6818409,5.588033,5.1203732
-0.68084043,5.5735703,5.8036695
-0.6798399,5.5592346,5.5117507
-0.6788394,5.5450287,5.6656437
-0.6778389,5.5309515,5.1984186
-0.6768384,5.517004,4.0943003
-0.67583793,5.5031857,5.937422
-0.6748374,5.489496,5.486263
-0.6738369,5.4759374,4.946647
-0.6728364,5.4625077,5.0283527
-0.6718359,5.449208,5.4640274
-0.6708354,5.436038,5.004515
-0.6698349,5.422998,6.187581
-0.6688344,5.4100885,5.911312
-0.6678339,5.39731,4.568455
-0.6668334,5.384661,5.788081
-0.6658329,5.3721433,5.5820894
-0.6648324,5.359757,4.6995544
-0.6638319,5.3475,6.0838547
-0.66283137,5.335374,5.3412843
-0.6618309,5.3233805,4.965325
-0.6608304,5.3115163,4.4376535
-0.6598299,5.299785,6.457083
-0.6588294,5.288184,6.1883965
-0.65782887,5.2767153,5.006164
-0.6568284,5.2653775,4.670928
-0.6558279,5.2541704,5.716923
-0.65482736,5.2430964,5.506731
-0.6538269,5.232154,5.4762325
-0.65282637,5.221343,5.241751
-0.6518259,5.2106643,5.54326
-0.6508254,5.200116,5.3260627
-0.64982486,5.189702,4.830844
-0.6488244,5.1794186,5.0441837
-0.6478239,5.1692677,4.2934
-0.6468234,5.159249,5.1561794
-0.64582294,5.1493626,5.1705117
-0.6448224,5.139609,4.2190127
-0.64382195,5.129987,5.2892256
-0.64282143,5.120497,4.698256
-0.6418209,5.1111403,5.2145114
-0.64082044,5.1019154,5.2224627
-0.6398199,5.092823,5.2607384
-0.6388194,5.0838633,5.0985274
-0.63781893,5.075036,5.691005
-0.6368184,5.0663414,4.9813275
-0.63581795,5.05778,4.2577357
-0.6348174,5.0493507,5.070037
-0.6338169,5.041053,4.704491
-0.63281643,5.0328894,4.474729
-0.6318159,5.024858,5.4106784
-0.6308154,5.0169587,4.5674953
-0.6298149,5.0091925,4.950275
-0.6288144,5.0015583,5.0124135
-0.62781394,4.994057,4.996037
-0.6268134,4.986689,4.5784082
-0.6258129,4.9794536,4.8929515
-0.6248124,4.9723506,4.7608657
-0.6238119,4.9653797,5.0669494
-0.6228114,4.9585414,5.6821923
-0.6218109,4.951837,5.2879148
-0.6208104,4.945263,4.7786136
-0.6198099,4.9388237,4.311408
-0.6188094,4.932515,5.620931
-0.6178089,4.926339,5.431582
-0.6168084,4.9202957,3.8636274
-0.6158079,4.914385,5.406419
-0.61480737,4.9086065,5.4230494
-0.6138069,4.902961,4.7935624
-0.6128064,4.8974457,4.847961
-0.6118059,4.8920646,5.530427
-0.6108054,4.886814,4.800724
-0.60980487,4.8816957,4.5082154
-0.6088044,4.87671,5.082688
-0.6078039,4.8718567,4.739284
-0.60680336,4.8671336,4.897812
-0.6058029,4.862544,5.527456
-0.60480237,4.858084,4.4563327
-0.6038019,4.853758,5.1487775
-0.6028014,4.849562,4.6701035
-0.60180086,4.8454976,4.7278924
-0.6008004,4.841565,4.9661384
-0.5997999,4.837763,5.223489
-0.59879935,4.8340926,4.460217
-0.5977989,4.830552,4.8241267
-0.59679836,4.827143,5.427467
-0.5957979,4.8238664,4.717839
-0.5947974,4.8207192,4.2260046
-0.59379685,4.8177032,4.089742
-0.5927964,4.8148174,4.63248
-0.59179586,4.8120613,3.1833057
-0.59079534,4.809437,5.136639
-0.5897949,4.8069415,5.3050814
-0.58879435,4.804577,5.1460648
-0.5877939,4.8023424,5.0803633
-0.58679336,4.8002367,5.190743
-0.58579284,4.7982616,4.276784
-0.5847924,4.796415,5.6603827
-0.58379185,4.794698,4.958803
-0.5827913,4.7931104,4.807292
-0.58179086,4.7916517,3.863409
-0.58079034,4.7903223,5.0043793
-0.5797899,4.789121,5.0416293
-0.57878935,4.7880487,4.35564
-0.57778883,4.787105,5.272595
-0.57678837,4.78629,5.17291
-0.5757879,4.7856026,5.8324175
-0.5747874,4.7850432,4.863504
-0.5737869,4.784611,4.6043987
-0.5727864,4.7843075,4.1184278
-0.5717859,4.784131,4.0565853
-0.5707854,4.7840815,4.737024
-0.5697849,4.784159,5.729389
-0.5687844,4.784364,5.026454
-0.5677839,4.784696,3.67859
-0.56678337,4.785154,4.8346195
-0.5657829,4.7857366,5.1265016
-0.5647824,4.7864475,4.8205533
-0.5637819,4.7872844,4.4012136
-0.5627814,4.788245,4.231455
-0.56178087,4.789333,4.136267
-0.5607804,4.790546,5.064512
-0.5597799,4.7918825,5.0874014
-0.55877936,4.793346,4.4207263
-0.5577789,4.794934,4.8618255
-0.5567784,4.7966447,4.247346
-0.5557779,4.7984805,4.7530246
-0.5547774,4.800441,5.3194733
-0.55377686,4.802524,5.07799
-0.5527764,4.804731,4.9129586
-0.5517759,4.807061,5.040504
-0.55077535,4.809515,4.2158546
-0.5497749,4.812091,4.557263
-0.54877436,4.81479,4.665618
-0.5477739,4.8176103,4.744896
-0.5467734,4.820553,4.819009
-0.54577285,4.8236175,5.120627
-0.5447724,4.8268046,4.376583
-0.54377186,4.8301125,5.4120617
-0.54277134,4.8335395,3.777082
-0.5417709,4.8370895,4.641974
-0.54077035,4.8407593,4.0851245
-0.5397699,4.8445487,4.1143036
-0.53876936,4.848459,4.889084
-0.53776884,4.852489,5.059914
-0.5367684,4.856637,5.6402373
-0.53576785,4.8609056,5.0389695
-0.5347673,4.8652925,4.51804
-0.53376687,4.8697987,5.270426
-0.53276634,4.874421,5.206506
-0.5317659,4.8791623,4.3077726
-0.53076535,4.8840218,3.795004
-0.52976483,4.8889985,4.7419553
-0.52876437,4.894092,3.6945825
-0.52776384,4.8993025,4.417729
-0.5267633,4.9046288,4.7868757
-0.52576286,4.9100714,4.804432
-0.52476233,4.915631,4.631566
-0.52376187,4.9213047,4.3879895
-0.52276134,4.9270945,5.2704635
-0.5217608,4.932997,4.26181
-0.52076036,4.939017,5.3493757
-0.5197599,4.9451494,5.265725
-0.51875937,4.951396,4.2241545
-0.5177589,4.957756,5.9846363
-0.5167584,4.9642296,5.691008
-0.5157579,4.970815,4.894161
-0.5147574,4.9775147,4.7716236
-0.5137569,4.9843264,4.7136493
-0.5127564,4.991249,4.944305
-0.5117559,4.9982824,5.18587
-0.51075536,5.0054293,4.75046
